dispute_type
治安/安全
买卖合同
民间借贷
金融不良债权追偿
服务合同
金融借款
申请确认仲裁协议效力
劳动争议
商品房预售
证券虚假陈述
集体经济
车辆租赁
租赁合同
破产债权确认
物业服务合同
合伙合同
排除妨害纠纷
财产损失保险合同
金融借款合同
确认仲裁协议效力
申请撤销仲裁裁决
独立保函
金融借款合同纠纷
民间借贷纠纷
建设工程施工合同纠纷
借款合同纠纷
借款合同纠纷（管辖争议）
挂靠经营合同纠纷
供用电合同纠纷
劳动合同纠纷
机动车交通事故责任纠纷
买卖合同纠纷
请求公司收购股份纠纷
工伤保险待遇纠纷（劳动争议）
商品房预售合同纠纷
房屋租赁合同纠纷
法定继承纠纷
物业服务合同纠纷
商品房销售合同纠纷
劳动合同
案外人执行异议之诉
建设工程监理合同纠纷
股权转让纠纷
